date,alabama,alaska,arizona,arkansas,california,colorado,connecticut,delaware,district of columbia,florida,georgia,hawaii,idaho,illinois,indiana,iowa,kansas,kentucky,louisiana,maine,maryland,massachusetts,michigan,minnesota,mississippi,missouri,montana,nebraska,nevada,new hampshire,new jersey,new mexico,new york,north carolina,north dakota,ohio,oklahoma,oregon,pennsylvania,rhode island,south carolina,south dakota,tennessee,texas,utah,vermont,virginia,washington,west virginia,wisconsin,wyoming
2009-12-01,60,54,44,56,41,55,19,53,26,49,45,46,62,42,39,39,60,39,26,50,39,30,49,38,30,48,82,64,42,19,33,49,50,33,45,65,48,55,30,33,37,43,48,56,67,40,30,44,38,40,57
2010-01-01,67,62,48,64,47,56,19,55,30,56,49,53,66,46,41,39,61,42,28,53,42,49,52,41,34,50,80,52,45,20,34,53,50,35,46,70,49,55,33,35,43,45,55,60,70,39,32,46,40,42,53
2010-02-01,58,57,44,61,43,55,20,61,30,53,49,67,63,49,42,39,60,42,29,51,43,32,51,36,34,50,75,50,42,20,34,50,49,35,46,71,46,52,32,36,42,44,47,57,71,40,32,50,40,42,53
2010-03-01,54,58,45,62,44,55,19,57,29,54,49,50,65,47,41,40,65,49,30,52,44,34,52,38,35,52,71,49,41,19,34,54,50,36,48,70,49,54,32,40,42,46,51,58,72,36,33,47,46,42,53
2010-04-01,57,59,55,64,49,56,19,58,29,52,48,49,67,49,41,39,66,57,31,55,45,36,53,39,38,52,68,50,39,20,35,48,50,36,47,73,52,57,33,39,41,44,47,60,74,35,35,48,53,45,55
2010-05-01,55,58,55,64,47,55,18,56,26,49,46,49,66,44,40,36,60,59,32,57,43,34,53,36,35,49,65,50,38,19,37,48,50,33,45,72,52,55,31,36,42,46,52,58,70,34,34,45,37,41,54
2010-06-01,56,60,46,69,52,58,18,60,27,50,46,48,67,45,42,39,62,38,30,61,47,34,54,37,33,50,63,57,37,21,41,50,48,35,44,75,48,57,31,37,48,48,46,57,74,37,34,45,39,45,58
2010-07-01,57,63,49,67,55,63,19,67,23,52,52,51,73,48,45,43,66,41,31,71,49,35,60,39,35,53,71,52,39,24,44,49,48,37,46,79,53,61,33,41,44,50,50,61,78,39,35,47,41,49,61
2010-08-01,60,67,48,68,50,62,19,63,25,50,51,53,73,48,45,42,67,42,32,67,48,34,60,42,35,54,98,53,39,23,43,48,49,35,45,80,52,61,32,39,43,48,52,63,76,40,34,46,40,46,61
2010-09-01,65,55,46,73,45,58,19,66,25,48,49,53,64,44,40,41,67,42,29,59,46,33,61,40,36,50,65,58,37,22,37,48,51,35,46,78,51,58,31,36,45,47,54,61,74,38,35,45,42,43,59
2010-10-01,61,53,44,67,44,55,19,58,23,48,48,52,61,45,42,40,61,41,29,54,42,30,57,37,34,50,61,56,38,19,32,43,48,32,43,74,53,57,29,33,44,44,50,65,68,37,32,45,38,40,52
2010-11-01,58,63,45,63,47,55,18,56,26,46,47,50,66,46,39,38,60,39,28,52,41,31,53,37,34,50,67,58,43,17,30,43,49,31,45,72,50,59,29,31,41,43,48,55,72,36,30,44,37,40,52
2010-12-01,49,57,43,58,41,52,17,53,21,47,45,53,61,43,40,35,60,37,27,52,38,27,52,38,31,45,59,51,38,17,31,45,48,30,42,68,47,56,27,28,37,38,45,53,68,37,29,41,38,38,50
2011-01-01,57,66,60,89,45,54,17,59,25,52,49,60,64,46,40,38,65,41,30,53,43,31,56,34,35,49,59,51,41,18,33,45,49,32,49,74,50,61,29,32,41,43,48,59,73,39,32,43,38,41,54
2011-02-01,54,60,45,66,42,52,16,55,25,53,48,57,64,45,43,37,62,40,30,54,42,29,53,34,34,48,54,48,39,17,31,45,45,32,48,72,50,52,29,32,40,44,47,57,74,37,31,43,39,55,55
2011-03-01,54,60,46,66,47,52,17,56,25,53,47,82,62,45,42,36,66,46,30,52,41,27,54,34,33,51,48,46,38,18,31,44,46,34,50,74,48,52,30,32,41,43,49,59,73,34,31,42,39,50,51
2011-04-01,68,54,44,71,43,54,17,56,28,49,47,56,65,47,41,42,61,47,30,54,42,29,52,35,37,50,47,46,37,18,32,44,47,36,52,72,49,51,29,31,41,42,49,61,73,34,31,43,35,46,51
2011-05-01,58,57,40,67,44,53,16,57,21,46,45,56,64,44,40,36,62,71,33,55,42,27,50,32,50,62,44,48,35,18,33,42,48,32,46,70,55,51,28,32,40,42,47,56,70,34,31,41,33,39,52
2011-06-01,55,62,44,63,46,56,18,59,23,50,46,54,68,45,42,37,62,36,30,58,43,32,54,34,33,54,44,52,35,21,35,49,47,33,55,73,46,53,29,34,42,49,46,57,72,35,32,40,36,42,56
2011-07-01,55,61,41,65,48,59,17,64,21,51,48,57,70,45,46,38,61,40,30,67,44,30,57,37,33,50,48,48,36,23,37,46,49,33,55,75,48,56,29,37,42,48,48,61,72,37,33,42,38,46,61
2011-08-01,58,58,41,67,44,60,19,68,21,49,49,54,70,45,47,42,61,39,31,65,46,31,57,36,36,51,46,52,35,24,42,43,56,37,52,76,51,55,31,37,43,45,50,61,74,45,40,45,39,48,57
2011-09-01,61,54,40,69,41,53,16,56,21,46,51,53,62,43,41,39,59,37,30,55,45,29,56,33,35,49,40,57,35,19,32,44,50,30,51,72,53,55,29,30,42,40,50,61,72,39,32,40,44,39,55
2011-10-01,62,51,40,67,39,52,17,53,20,45,49,54,59,42,41,38,60,36,29,53,39,28,54,30,33,48,40,55,32,19,34,40,47,29,56,76,50,49,27,29,41,38,50,62,67,33,29,39,40,40,49
2011-11-01,68,57,38,73,36,47,15,50,21,43,44,52,57,39,38,36,58,39,27,49,35,25,49,28,35,45,38,54,33,17,27,39,43,28,68,72,55,51,27,26,38,37,45,53,65,31,27,38,35,35,48
2011-12-01,53,54,36,58,36,49,15,49,18,43,43,53,58,40,40,37,57,36,27,50,33,24,47,28,30,44,40,44,33,16,28,43,42,27,56,65,46,47,25,25,34,33,42,52,67,33,31,37,34,36,49
2012-01-01,71,69,39,67,39,51,16,52,22,52,49,60,62,43,40,46,57,39,30,52,37,27,50,30,34,45,41,47,37,31,28,41,45,29,58,69,47,54,26,29,61,38,46,55,74,33,28,40,40,39,53
2012-02-01,56,58,40,62,38,51,15,54,22,51,45,57,60,44,41,37,56,40,31,55,37,26,51,30,33,49,37,49,40,16,29,41,42,30,55,71,47,47,26,30,38,38,45,53,71,33,28,43,36,38,54
2012-03-01,57,56,40,63,41,50,15,52,22,51,46,56,61,46,43,35,60,51,32,52,37,27,50,30,35,49,35,44,34,16,27,42,42,32,58,75,46,48,26,29,39,42,45,56,71,31,28,39,34,38,50
2012-04-01,55,54,39,75,41,50,15,53,21,48,44,54,61,43,40,37,64,55,30,54,39,28,48,30,33,47,35,46,32,17,31,40,43,30,51,71,50,49,28,31,39,37,44,58,71,29,29,40,33,38,50
2012-05-01,53,54,36,65,40,51,15,55,19,48,44,53,64,42,42,35,57,70,30,56,39,27,49,28,33,45,33,45,33,17,33,42,39,35,50,71,48,50,26,31,37,40,46,56,71,30,30,40,36,38,51
2012-06-01,55,57,36,65,40,69,15,56,19,50,43,52,65,41,41,35,56,38,30,61,40,27,51,28,32,45,36,44,32,18,33,45,38,30,52,74,55,50,26,34,40,43,45,56,72,30,30,39,36,46,56
2012-07-01,55,57,35,64,40,96,15,61,19,48,45,54,69,42,44,40,59,36,30,65,40,28,54,30,33,47,39,46,32,21,32,41,40,32,53,78,44,53,28,35,39,43,47,58,75,32,31,40,37,41,61
2012-08-01,59,53,37,68,39,56,15,59,20,49,46,53,72,43,45,41,58,35,35,65,40,28,56,30,35,50,39,50,33,20,31,41,41,30,50,78,47,55,28,33,42,42,49,60,76,34,30,41,37,46,56
2012-09-01,67,52,40,75,37,50,15,55,19,45,49,49,64,41,40,40,57,37,31,56,36,28,57,29,35,48,35,53,31,19,29,41,42,29,52,77,46,57,27,30,40,38,53,60,73,32,29,40,39,37,56
2012-10-01,60,52,39,65,35,51,17,59,21,45,47,54,59,40,42,38,57,36,30,57,38,30,51,29,34,46,31,52,32,18,37,39,50,29,52,80,46,52,28,31,46,37,49,58,69,30,30,41,45,35,51
2012-11-01,67,51,36,65,37,55,14,49,23,49,44,46,59,41,40,36,55,38,30,51,36,27,49,29,32,48,33,49,32,17,32,36,41,26,53,78,44,54,26,26,36,35,48,57,66,28,26,40,36,33,47
2012-12-01,57,52,33,61,32,47,100,45,16,41,41,47,56,36,37,33,60,33,26,48,30,22,44,26,27,40,33,45,31,14,23,36,38,24,45,66,40,47,23,23,32,32,43,52,64,28,24,36,33,33,47
2013-01-01,77,59,35,59,36,48,17,50,22,49,47,57,63,39,39,35,53,36,30,50,33,24,46,28,31,42,34,45,34,15,24,39,38,27,52,72,42,49,25,27,39,35,43,57,69,29,26,41,34,34,53
2013-02-01,63,54,36,62,36,48,17,65,19,47,43,53,60,40,40,36,57,37,30,51,34,25,47,27,34,44,34,44,33,15,24,38,36,27,50,72,42,45,23,26,36,37,43,53,69,30,25,39,33,33,51
2013-03-01,52,53,38,60,36,49,15,67,20,52,44,52,58,40,42,36,59,41,31,53,36,24,49,29,32,45,34,42,33,16,25,44,37,30,55,73,42,48,25,26,38,40,45,53,68,27,26,38,33,34,49
2013-04-01,52,50,35,63,36,49,16,56,20,45,44,52,59,40,40,34,54,43,30,52,36,30,50,29,33,43,32,44,31,15,25,38,38,28,53,68,45,47,25,29,37,37,44,64,71,27,26,38,35,32,50
2013-05-01,50,55,33,61,37,49,15,56,17,45,44,52,61,40,41,35,53,68,30,54,34,25,44,29,32,44,34,42,30,17,27,38,37,28,47,74,100,48,25,29,38,36,44,57,66,28,27,38,31,33,49
2013-06-01,50,57,33,61,36,55,15,55,18,46,43,49,61,39,41,34,51,36,28,56,34,26,47,26,33,42,34,40,29,18,29,39,35,30,45,72,50,49,25,29,38,39,44,55,74,27,26,36,32,33,52
2013-07-01,53,60,38,62,39,54,15,58,17,49,47,52,70,41,43,37,54,36,30,64,36,26,52,27,32,45,36,43,31,21,31,39,36,31,51,77,42,53,27,34,39,43,45,58,72,30,28,39,36,37,58
2013-08-01,60,55,34,67,37,52,16,57,18,47,49,50,77,42,42,38,56,36,31,63,36,25,52,30,33,47,39,48,32,20,30,40,37,32,51,78,45,54,27,32,43,42,49,57,72,31,28,39,36,36,56
2013-09-01,71,50,34,67,34,59,15,53,18,42,48,45,62,40,38,38,57,35,28,54,34,25,52,28,33,44,36,56,30,19,27,39,37,29,53,74,45,52,26,28,44,39,51,58,69,28,27,41,37,35,56
2013-10-01,60,48,36,63,34,47,15,50,19,42,47,44,58,38,39,38,55,35,28,49,33,25,47,28,31,46,31,48,33,17,26,37,37,28,51,73,40,51,25,27,41,44,51,55,66,29,26,39,34,32,53
2013-11-01,67,47,35,58,31,45,14,46,17,42,45,44,55,40,38,35,55,36,26,46,29,22,48,26,31,43,30,56,29,15,24,46,36,26,46,70,42,49,23,24,37,32,44,51,62,26,26,37,32,31,47
